layer,model,accuracy,f1,duration
1,ridge_L1,0.751,0.7486479081283848,1.8147430419921875
1,rf_L1,0.784,0.7824894505423821,17.254723072052002
2,lr_L2,0.794,0.7929288911282671,5.115874290466309
2,rf_L2,0.797,0.79601665107072,1.9969360828399658
2,ridge_L2,0.797,0.796000024050788,6.326647996902466
2,bag_svc_L2,0.795,0.7940344953138315,2.9428482055664062
2,voting_L2,0.801,0.8000217970964196,0.15297222137451172
3,rf_L3,0.776,0.7747476461276948,2.5202090740203857
3,bag_nb_L3,0.801,0.8000645684483215,2.2068843841552734
3,bag_svc_L3,0.796,0.79501742308547,0.34268665313720703
3,voting_L3,0.805,0.8043210960771168,0.09874820709228516
4,lr_L4,0.795,0.7936550963984477,2.805758237838745
4,rf_L4,0.793,0.7920998363780268,3.6310253143310547
4,bag_lr_L4,0.795,0.7936550963984477,2.693591594696045
4,bag_svc_L4,0.797,0.7959823403092092,0.3083477020263672
4,voting_L4,0.798,0.7965210236996296,0.1511673927307129
5,bag_nb_L5,0.798,0.7965041053877717,0.1742546558380127
5,bag_lr_L5,0.803,0.801776137902048,0.30094456672668457
5,ridge_L5,0.797,0.7957053022057919,2.2542669773101807
5,voting_L5,0.799,0.7975868519889834,2.798642158508301
6,lr_L6,0.8,0.7988232422634026,2.3529393672943115
6,bag_nb_L6,0.802,0.8007027017218874,2.250267744064331
6,voting_L6,0.798,0.7968442467718618,0.01812601089477539
