layer,model,accuracy,f1,precision,recall,auc,duration
1,rf__v1_L1,0.966,0.9660460466004585,0.966428289767282,0.966,0.997738675865689,50.400349140167236
1,rf__v2_L1,0.967,0.9670726094396221,0.967596438256784,0.967,0.9979919244405813,26.815127849578857
1,rf__v3_L1,0.967,0.9670382681396363,0.9675246002072065,0.967,0.997903752254146,190.53859972953796
1,rf__v4_L1,0.964,0.9640838195132232,0.9644628440565073,0.964,0.9976916111804708,81.91789317131042
1,rf__v5_L1,0.967,0.9670288338842586,0.9673068045976695,0.967,0.9979067861985491,294.8896691799164
1,rf__v6_L1,0.965,0.9650433436263914,0.9655381201056425,0.965,0.99786921625113,150.74852895736694
2,bag_prev_L2,0.966,0.9660583745641774,0.966567557390358,0.966,0.9980313929536296,0.04671335220336914
2,vote_prev_L2,0.966,0.9660583745641774,0.966567557390358,0.966,0.9980147700266941,0.03601479530334473
2,stack_prev_L2,0.967,0.9670115105803543,0.9670975832274771,0.967,0.9978450765133711,0.818852424621582
3,bag_prev_L3,0.966,0.9660111152352777,0.9661908963585434,0.966,0.9980656912728653,0.05155539512634277
3,stack_prev_L3,0.966,0.9660091809867872,0.9660682380120025,0.966,0.9978514028046347,7.59619140625
4,vote_prev_L4,0.968,0.9680101904129731,0.9681253899062865,0.968,0.9980595530145474,0.03608250617980957
4,bag_prev_L4,0.968,0.9680101904129731,0.9681253899062865,0.968,0.9980486893845824,0.04143476486206055
5,vote_prev_L5,0.968,0.9680101904129731,0.9681253899062865,0.968,0.9980476777795537,0.04075121879577637
5,stack_prev_L5,0.966,0.9660091809867872,0.9660682380120025,0.966,0.9977032152301117,6.056332349777222
6,bag_prev_L6,0.966,0.9660091809867872,0.9660682380120025,0.966,0.9980044698165107,0.05240178108215332
6,vote_prev_L6,0.966,0.9660091809867872,0.9660682380120025,0.966,0.9980002269899605,0.036930084228515625
7,vote_prev_L7,0.966,0.9660091809867872,0.9660682380120025,0.966,0.9980034322309277,0.0423130989074707
7,stack_prev_L7,0.966,0.9660091809867872,0.9660682380120025,0.966,0.9975729889502926,0.49767303466796875
7,bag_prev_L7,0.966,0.9660091809867872,0.9660682380120025,0.966,0.9980034322309277,0.04021763801574707
8,stack_prev_L8,0.963,0.963024782729316,0.9631229101509409,0.963,0.997651643961165,6.9864161014556885
8,vote_prev_L8,0.966,0.9660091809867872,0.9660682380120025,0.966,0.9979803883170373,0.038172006607055664
9,bag_prev_L9,0.966,0.9660091809867872,0.9660682380120025,0.966,0.9979340475201839,0.04550480842590332
9,stack_prev_L9,0.964,0.9640074871037982,0.9640647681729116,0.964,0.9963570667098414,7.619207143783569
9,vote_prev_L9,0.966,0.9660091809867872,0.9660682380120025,0.966,0.9979340475201839,0.04083895683288574
10,stack_prev_L10,0.966,0.9660091809867872,0.9660682380120025,0.966,0.9977776858324476,6.064667224884033
10,bag_prev_L10,0.965,0.9650054120868131,0.9650468842933642,0.965,0.9978968339893539,0.029798507690429688
10,vote_prev_L10,0.965,0.9650054120868131,0.9650468842933642,0.965,0.9978968339893539,0.034056901931762695
11,stack_prev_L11,0.965,0.9650054120868131,0.9650468842933642,0.965,0.9964242604112833,6.834513187408447
11,vote_prev_L11,0.966,0.9660091809867872,0.9660682380120025,0.966,0.9978772175084155,0.035439252853393555
12,bag_prev_L12,0.966,0.9660091809867872,0.9660682380120025,0.966,0.9974089605353607,0.04329562187194824
12,vote_prev_L12,0.966,0.9660091809867872,0.9660682380120025,0.966,0.9977791767160116,0.045729875564575195
