Modelo,max_features,Accuracy,F1_Weighted,Precision,Recall,Tempo_s
LinearSVC,500,0.65,0.6436,0.647,0.65,0.1
ExtraTrees,500,0.69,0.6871,0.6914,0.69,0.33
LinearSVC,1000,0.73,0.7265,0.7278,0.73,0.06
ExtraTrees,1000,0.73,0.7258,0.7301,0.73,0.34
LinearSVC,2000,0.75,0.7429,0.7518,0.75,0.06
ExtraTrees,2000,0.745,0.7447,0.7584,0.745,0.38
LinearSVC,3000,0.765,0.7589,0.771,0.765,0.06
ExtraTrees,3000,0.73,0.7281,0.7394,0.73,0.35
LinearSVC,4000,0.77,0.7633,0.7706,0.77,0.07
ExtraTrees,4000,0.725,0.7224,0.7292,0.725,0.43
LinearSVC,5000,0.765,0.7582,0.7653,0.765,0.06
ExtraTrees,5000,0.74,0.7379,0.7457,0.74,0.47
