Modelo,max_features,Accuracy,F1_Weighted,Precision,Recall,Tempo_s
LinearSVC,5000,0.765,0.7582,0.7653,0.765,0.1
ExtraTrees,5000,0.74,0.7379,0.7457,0.74,0.48
LinearSVC,10000,0.765,0.7594,0.7633,0.765,0.07
ExtraTrees,10000,0.725,0.7209,0.7451,0.725,0.53
LinearSVC,15000,0.765,0.7594,0.7633,0.765,0.07
ExtraTrees,15000,0.725,0.7209,0.7451,0.725,0.5
LinearSVC,30000,0.765,0.7594,0.7633,0.765,0.07
ExtraTrees,30000,0.725,0.7209,0.7451,0.725,0.53
LinearSVC,50000,0.765,0.7594,0.7633,0.765,0.08
ExtraTrees,50000,0.725,0.7209,0.7451,0.725,0.51
LinearSVC,70000,0.765,0.7594,0.7633,0.765,0.08
ExtraTrees,70000,0.725,0.7209,0.7451,0.725,0.52
