pipeline,model,n_features,fit_time_s,accuracy,f1_macro,f1_weighted,tag,cleaner,stage,vectorizer_owner,max_features,default_max_features,min_df,default_min_df,ngram_lo,ngram_hi,default_ngram,cleaner_label,keep_hashtags,keep_punct,keep_digits,drop_hashtags,drop_punct,drop_digits,remove_stopwords,lemmatize,expand_contractions,keep_question_mark,keep_hashtag_word,sublinear_tf,default_sublinear_tf
A,LogisticRegression,70000,10.76,0.975,0.974272,0.974992,canonical,clean_a,canonical,,,,,,,,,,,,,,,,,,,,,,
A,MultinomialNB,70000,2.4,0.914,0.910489,0.913445,canonical,clean_a,canonical,,,,,,,,,,,,,,,,,,,,,,
A,LinearSVC_C1,70000,6.83,0.98,0.979739,0.980017,canonical,clean_a,canonical,,,,,,,,,,,,,,,,,,,,,,
A,LinearSVC_C10,70000,11.63,0.983,0.982775,0.983017,canonical,clean_a,canonical,,,,,,,,,,,,,,,,,,,,,,
A,LinearSVC_C19,70000,15.41,0.981,0.980677,0.981016,canonical,clean_a,canonical,,,,,,,,,,,,,,,,,,,,,,
A,ExtraTrees,70000,121.23,0.985,0.984531,0.985002,canonical,clean_a,canonical,,,,,,,,,,,,,,,,,,,,,,
B,LogisticRegression_C11,70000,13.61,0.981,0.981256,0.981042,canonical,clean_b,canonical,,,,,,,,,,,,,,,,,,,,,,
B,ExtraTrees,70000,119.95,0.977,0.977228,0.976984,canonical,clean_b,canonical,,,,,,,,,,,,,,,,,,,,,,
B,LinearSVC_C19,70000,17.25,0.983,0.983279,0.983023,canonical,clean_b,canonical,,,,,,,,,,,,,,,,,,,,,,
B,PassiveAggressive,70000,3.39,0.98,0.980622,0.98005,canonical,clean_b,canonical,,,,,,,,,,,,,,,,,,,,,,
B,KNN_cosine,70000,4.25,0.978,0.978545,0.978061,canonical,clean_b,canonical,,,,,,,,,,,,,,,,,,,,,,
B,RidgeClassifier,70000,4.46,0.983,0.982959,0.983012,canonical,clean_b,canonical,,,,,,,,,,,,,,,,,,,,,,
B,SGD_modhuber,70000,2.98,0.977,0.976894,0.977024,canonical,clean_b,canonical,,,,,,,,,,,,,,,,,,,,,,
C,LinearSVC_C0.5,100000,6.4,0.978,0.978239,0.978048,canonical,clean_c,canonical,,,,,,,,,,,,,,,,,,,,,,
C,LogisticRegression_C10,100000,19.57,0.978,0.977334,0.978015,canonical,clean_c,canonical,,,,,,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,100000,21.86,0.978,0.977347,0.978008,canonical,clean_c,canonical,,,,,,,,,,,,,,,,,,,,,,
PP=A,LinearSVC_C19,70000,15.0,0.981,0.980677,0.981016,cross_pp_x_vec,A,cross,A,,,,,,,,,,,,,,,,,,,,,
PP=A,LinearSVC_C19,70000,15.07,0.981,0.980677,0.981016,cross_pp_x_vec,A,cross,B,,,,,,,,,,,,,,,,,,,,,
PP=A,LinearSVC_C19,100000,36.51,0.986,0.985737,0.986023,cross_pp_x_vec,A,cross,C,,,,,,,,,,,,,,,,,,,,,
PP=B,LinearSVC_C19,70000,15.38,0.983,0.983279,0.983023,cross_pp_x_vec,B,cross,A,,,,,,,,,,,,,,,,,,,,,
PP=B,LinearSVC_C19,70000,15.66,0.983,0.983279,0.983023,cross_pp_x_vec,B,cross,B,,,,,,,,,,,,,,,,,,,,,
PP=B,LinearSVC_C19,100000,34.64,0.984,0.98334,0.984015,cross_pp_x_vec,B,cross,C,,,,,,,,,,,,,,,,,,,,,
PP=C,Voting_svc_lr,70000,15.88,0.978,0.977131,0.978014,cross_pp_x_vec,C,cross,A,,,,,,,,,,,,,,,,,,,,,
PP=C,Voting_svc_lr,70000,14.96,0.978,0.977131,0.978014,cross_pp_x_vec,C,cross,B,,,,,,,,,,,,,,,,,,,,,
PP=C,Voting_svc_lr,100000,19.47,0.978,0.977347,0.978008,cross_pp_x_vec,C,cross,C,,,,,,,,,,,,,,,,,,,,,
A,A_LR_C10,70000,14.43,0.979,0.978832,0.97902,fairness_balanced,,fairness,,,,,,,,,,,,,,,,,,,,,,
A,A_SVC_C19,70000,15.72,0.98,0.979517,0.980025,fairness_balanced,,fairness,,,,,,,,,,,,,,,,,,,,,,
B,B_LR_C10,70000,13.63,0.981,0.980943,0.981034,fairness_balanced,,fairness,,,,,,,,,,,,,,,,,,,,,,
B,B_SVC_C19,70000,14.52,0.982,0.981529,0.982009,fairness_balanced,,fairness,,,,,,,,,,,,,,,,,,,,,,
C,C_LR_C10,100000,17.36,0.978,0.977334,0.978015,fairness_balanced,,fairness,,,,,,,,,,,,,,,,,,,,,,
C,C_SVC_C19,100000,24.13,0.975,0.973251,0.975045,fairness_balanced,,fairness,,,,,,,,,,,,,,,,,,,,,,
A,LinearSVC_C19,10000,10.97,0.94,0.940434,0.939941,ablation_max_features,,max_features,,10000.0,70000.0,,,,,,,,,,,,,,,,,,,
A,LinearSVC_C19,25000,15.81,0.974,0.974084,0.974028,ablation_max_features,,max_features,,25000.0,70000.0,,,,,,,,,,,,,,,,,,,
A,LinearSVC_C19,50000,16.89,0.979,0.978358,0.979048,ablation_max_features,,max_features,,50000.0,70000.0,,,,,,,,,,,,,,,,,,,
A,LinearSVC_C19,70000,17.15,0.981,0.980677,0.981016,ablation_max_features,,max_features,,70000.0,70000.0,,,,,,,,,,,,,,,,,,,
A,LinearSVC_C19,100000,36.33,0.985,0.984543,0.985009,ablation_max_features,,max_features,,100000.0,70000.0,,,,,,,,,,,,,,,,,,,
A,LinearSVC_C19,150000,42.93,0.985,0.984543,0.985009,ablation_max_features,,max_features,,150000.0,70000.0,,,,,,,,,,,,,,,,,,,
A,LinearSVC_C19,159989,40.77,0.984,0.983657,0.984013,ablation_max_features,,max_features,,200000.0,70000.0,,,,,,,,,,,,,,,,,,,
B,LinearSVC_C19,10000,9.79,0.938,0.93693,0.938013,ablation_max_features,,max_features,,10000.0,70000.0,,,,,,,,,,,,,,,,,,,
B,LinearSVC_C19,25000,14.08,0.967,0.966297,0.967048,ablation_max_features,,max_features,,25000.0,70000.0,,,,,,,,,,,,,,,,,,,
B,LinearSVC_C19,50000,12.99,0.98,0.979511,0.980027,ablation_max_features,,max_features,,50000.0,70000.0,,,,,,,,,,,,,,,,,,,
B,LinearSVC_C19,70000,15.99,0.983,0.983279,0.983023,ablation_max_features,,max_features,,70000.0,70000.0,,,,,,,,,,,,,,,,,,,
B,LinearSVC_C19,100000,38.75,0.985,0.985114,0.985029,ablation_max_features,,max_features,,100000.0,70000.0,,,,,,,,,,,,,,,,,,,
B,LinearSVC_C19,150000,38.81,0.985,0.98479,0.985005,ablation_max_features,,max_features,,150000.0,70000.0,,,,,,,,,,,,,,,,,,,
B,LinearSVC_C19,168350,34.19,0.986,0.985708,0.986015,ablation_max_features,,max_features,,200000.0,70000.0,,,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,10000,11.65,0.896,0.892616,0.896601,ablation_max_features,,max_features,,10000.0,100000.0,,,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,25000,13.22,0.954,0.951858,0.95412,ablation_max_features,,max_features,,25000.0,100000.0,,,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,50000,13.74,0.97,0.968232,0.970023,ablation_max_features,,max_features,,50000.0,100000.0,,,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,70000,17.72,0.974,0.972965,0.974028,ablation_max_features,,max_features,,70000.0,100000.0,,,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,100000,18.45,0.978,0.977347,0.978008,ablation_max_features,,max_features,,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,150000,26.36,0.979,0.978262,0.979001,ablation_max_features,,max_features,,150000.0,100000.0,,,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,200000,30.24,0.982,0.981488,0.981997,ablation_max_features,,max_features,,200000.0,100000.0,,,,,,,,,,,,,,,,,,,
A,LinearSVC_C19,70000,13.36,0.981,0.980677,0.981016,ablation_min_df,,min_df,,,,1.0,2.0,,,,,,,,,,,,,,,,,
A,LinearSVC_C19,70000,14.73,0.981,0.980677,0.981016,ablation_min_df,,min_df,,,,2.0,2.0,,,,,,,,,,,,,,,,,
A,LinearSVC_C19,70000,12.68,0.981,0.980677,0.981016,ablation_min_df,,min_df,,,,3.0,2.0,,,,,,,,,,,,,,,,,
A,LinearSVC_C19,70000,13.54,0.981,0.980677,0.981016,ablation_min_df,,min_df,,,,5.0,2.0,,,,,,,,,,,,,,,,,
B,LinearSVC_C19,70000,14.18,0.986,0.986253,0.986009,ablation_min_df,,min_df,,,,1.0,2.0,,,,,,,,,,,,,,,,,
B,LinearSVC_C19,70000,15.0,0.983,0.983279,0.983023,ablation_min_df,,min_df,,,,2.0,2.0,,,,,,,,,,,,,,,,,
B,LinearSVC_C19,70000,14.95,0.983,0.983594,0.983034,ablation_min_df,,min_df,,,,3.0,2.0,,,,,,,,,,,,,,,,,
B,LinearSVC_C19,70000,15.96,0.986,0.985982,0.986004,ablation_min_df,,min_df,,,,5.0,2.0,,,,,,,,,,,,,,,,,
