pipeline,model,n_features,fit_time_s,accuracy,f1_macro,f1_weighted,tag,max_features,default_max_features,stage
A,LinearSVC_C19,10000,10.97,0.94,0.940434,0.939941,ablation_max_features,10000,70000,max_features
A,LinearSVC_C19,25000,15.81,0.974,0.974084,0.974028,ablation_max_features,25000,70000,max_features
A,LinearSVC_C19,50000,16.89,0.979,0.978358,0.979048,ablation_max_features,50000,70000,max_features
A,LinearSVC_C19,70000,17.15,0.981,0.980677,0.981016,ablation_max_features,70000,70000,max_features
A,LinearSVC_C19,100000,36.33,0.985,0.984543,0.985009,ablation_max_features,100000,70000,max_features
A,LinearSVC_C19,150000,42.93,0.985,0.984543,0.985009,ablation_max_features,150000,70000,max_features
A,LinearSVC_C19,159989,40.77,0.984,0.983657,0.984013,ablation_max_features,200000,70000,max_features
B,LinearSVC_C19,10000,9.79,0.938,0.93693,0.938013,ablation_max_features,10000,70000,max_features
B,LinearSVC_C19,25000,14.08,0.967,0.966297,0.967048,ablation_max_features,25000,70000,max_features
B,LinearSVC_C19,50000,12.99,0.98,0.979511,0.980027,ablation_max_features,50000,70000,max_features
B,LinearSVC_C19,70000,15.99,0.983,0.983279,0.983023,ablation_max_features,70000,70000,max_features
B,LinearSVC_C19,100000,38.75,0.985,0.985114,0.985029,ablation_max_features,100000,70000,max_features
B,LinearSVC_C19,150000,38.81,0.985,0.98479,0.985005,ablation_max_features,150000,70000,max_features
B,LinearSVC_C19,168350,34.19,0.986,0.985708,0.986015,ablation_max_features,200000,70000,max_features
C,Voting_svc_lr,10000,11.65,0.896,0.892616,0.896601,ablation_max_features,10000,100000,max_features
C,Voting_svc_lr,25000,13.22,0.954,0.951858,0.95412,ablation_max_features,25000,100000,max_features
C,Voting_svc_lr,50000,13.74,0.97,0.968232,0.970023,ablation_max_features,50000,100000,max_features
C,Voting_svc_lr,70000,17.72,0.974,0.972965,0.974028,ablation_max_features,70000,100000,max_features
C,Voting_svc_lr,100000,18.45,0.978,0.977347,0.978008,ablation_max_features,100000,100000,max_features
C,Voting_svc_lr,150000,26.36,0.979,0.978262,0.979001,ablation_max_features,150000,100000,max_features
C,Voting_svc_lr,200000,30.24,0.982,0.981488,0.981997,ablation_max_features,200000,100000,max_features
