pipeline,model,n_features,fit_time_s,accuracy,f1_macro,f1_weighted,tag,max_features,default_max_features,stage
A,LinearSVC_C19,10000,8.43,0.94,0.940434,0.939941,ablation_max_features,10000,70000,max_features
A,LinearSVC_C19,25000,11.33,0.974,0.974084,0.974028,ablation_max_features,25000,70000,max_features
A,LinearSVC_C19,50000,11.68,0.979,0.978358,0.979048,ablation_max_features,50000,70000,max_features
A,LinearSVC_C19,70000,12.84,0.981,0.980677,0.981016,ablation_max_features,70000,70000,max_features
A,LinearSVC_C19,100000,27.81,0.985,0.984543,0.985009,ablation_max_features,100000,70000,max_features
A,LinearSVC_C19,150000,31.94,0.985,0.984543,0.985009,ablation_max_features,150000,70000,max_features
A,LinearSVC_C19,159989,32.38,0.984,0.983657,0.984013,ablation_max_features,200000,70000,max_features
B,LinearSVC_C19,10000,8.03,0.938,0.93693,0.938013,ablation_max_features,10000,70000,max_features
B,LinearSVC_C19,25000,11.5,0.967,0.966297,0.967048,ablation_max_features,25000,70000,max_features
B,LinearSVC_C19,50000,10.85,0.98,0.979511,0.980027,ablation_max_features,50000,70000,max_features
B,LinearSVC_C19,70000,13.36,0.983,0.983279,0.983023,ablation_max_features,70000,70000,max_features
B,LinearSVC_C19,100000,27.54,0.985,0.985114,0.985029,ablation_max_features,100000,70000,max_features
B,LinearSVC_C19,150000,32.79,0.985,0.98479,0.985005,ablation_max_features,150000,70000,max_features
B,LinearSVC_C19,168350,29.78,0.986,0.985708,0.986015,ablation_max_features,200000,70000,max_features
C,Voting_svc_lr,10000,10.68,0.896,0.892616,0.896601,ablation_max_features,10000,100000,max_features
C,Voting_svc_lr,25000,12.18,0.954,0.951858,0.95412,ablation_max_features,25000,100000,max_features
C,Voting_svc_lr,50000,12.78,0.97,0.968232,0.970023,ablation_max_features,50000,100000,max_features
C,Voting_svc_lr,70000,16.31,0.974,0.972965,0.974028,ablation_max_features,70000,100000,max_features
C,Voting_svc_lr,100000,17.01,0.978,0.977347,0.978008,ablation_max_features,100000,100000,max_features
C,Voting_svc_lr,150000,22.82,0.979,0.978262,0.979001,ablation_max_features,150000,100000,max_features
C,Voting_svc_lr,200000,26.6,0.982,0.981488,0.981997,ablation_max_features,200000,100000,max_features
